"probe_id","Refseq_id","Symbol"
"ILMN_1660633","NM_033259.2","CAMK2N2"
"ILMN_1689000","NM_080611.3","DUSP15"
"ILMN_2382471","NM_080611.3","DUSP15"
"ILMN_1781870","NM_005105.2","RBM8A"
"ILMN_1791792","NM_020375.2","C12orf5"
"ILMN_1729498","NM_003692.2","TMEFF1"
"ILMN_1671843","NM_001032290.1","PSRC1"
"ILMN_1801152","NM_001032290.1","PSRC1"
"ILMN_2138005","NM_006614.2","CHL1"
"ILMN_1713347","NM_006614.2","CHL1"
"ILMN_1705630","XM_930608.1","LOC641700"
"ILMN_1810210","NM_053281.2","DACH2"
"ILMN_1684866","XR_017893.1","C21orf49"
"ILMN_1781150","XM_946213.1","RBM19"
"ILMN_1660357","XM_935575.1","LOC641825"
"ILMN_1812262","NM_013993.2","DDR1"
"ILMN_1660898","XM_932212.1","LOC644489"
"ILMN_1814726","NM_005506.2","SCARB2"
"ILMN_1685012","NM_033083.6","EAF1"
"ILMN_2389069","NM_001018049.1","PAEP"
"ILMN_1776188","NM_181509.1","MAP1LC3A"
"ILMN_1711986","NM_181509.1","MAP1LC3A"
"ILMN_1793302","NM_018669.4","WDR4"
"ILMN_1775268","NM_020760.1","HECW2"
"ILMN_1735189","NM_001012707.1","C21orf114"
"ILMN_1696190","NM_001039877.1","STRN4"
"ILMN_1789690","XM_936391.1","LOC642244"
"ILMN_1733103","NM_181722.2","LOC285908"
"ILMN_1656589","XM_942027.1","LOC652537"
"ILMN_1782110","NM_001098402.1","ZNF295"
"ILMN_1701871","XM_944736.1","LOC651520"
"ILMN_1796685","NM_153274.2","BEST4"
"ILMN_1716728","NM_018322.1","C6orf64"
"ILMN_1680952","XM_946074.1","LOC651102"
"ILMN_1664920","NM_001031726.2","C19orf12"
"ILMN_1718365","NM_001031726.2","C19orf12"
"ILMN_1703695","NM_001031726.2","C19orf12"
"ILMN_2362439","NM_001031726.2","C19orf12"
"ILMN_1754600","NM_001024948.1","FNBP1L"
"ILMN_1809895","NM_001024948.1","FNBP1L"
"ILMN_1724096","NM_003985.1","TNK1"
"ILMN_1694126","NM_194313.2","KIF24"
"ILMN_1812461","NM_003881.2","WISP2"
"ILMN_2135709","NM_173549.1","C8orf47"
"ILMN_1724070","NM_003954.2","MAP3K14"
"ILMN_1661461","XM_378454.3","LOC283547"
"ILMN_1745957","XM_946076.1","LOC654172"
"ILMN_1693665","XM_001129783.1","LOC729260"
"ILMN_1768217","XM_926976.1","LOC643672"
"ILMN_1731370","NM_173521.2","C9orf84"
"ILMN_1741698","NM_001012393.1","OPCML"
"ILMN_1751846","XM_944532.1","LOC651166"
"ILMN_1658807","NM_002134.2","HMOX2"
"ILMN_1670576","NM_001098631.1","IRF5"
"ILMN_1695917","NM_020199.1","C5orf15"
"ILMN_1711543","NM_024644.2","C14orf169"
"ILMN_1742230","NM_182648.1","BAZ1A"
"ILMN_1687827","NM_001010877.2","ZNF311"
"ILMN_1736692","NM_001098814.1","SRL"
"ILMN_1683163","XM_926378.2","LOC653125"
"ILMN_1679274","XM_945200.1","LOC652094"
"ILMN_1792972","NM_152262.2","ZNF439"
"ILMN_1659511","XM_928668.2","LOC645652"
"ILMN_1799640","XM_944649.1","LOC651403"
"ILMN_1720113","NM_030667.1","PTPRO"
"ILMN_1746635","NM_001018096.1","Gcom1"
"ILMN_1798841","NM_001005473.1","PLCXD3"
"ILMN_1731275","NM_022357.1","DPEP3"
"ILMN_1732772","NM_016147.1","PPME1"
"ILMN_1745914","XM_939680.1","LOC650594"
"ILMN_1709408","NM_006610.2","MASP2"
"ILMN_1735260","NM_006610.2","MASP2"
"ILMN_1742324","NM_014283.2","C1orf9"
"ILMN_2253272","NM_014283.2","C1orf9"
"ILMN_1712784","XM_932176.1","LOC644421"
"ILMN_1738300","NM_004858.2","SLC4A8"
"ILMN_1679816","XM_001129031.1","C1orf117"
"ILMN_1697777","NM_003313.2","TSTA3"
"ILMN_1794510","XM_943640.2","FLJ32255"
"ILMN_1677906","XM_928075.2","LOC643287"
"ILMN_2391178","NM_001007243.1","STAR"
"ILMN_2391176","NM_001007243.1","STAR"
"ILMN_1702757","XM_496527.2","FLJ20464"
"ILMN_1811790","NM_004118.3","FOXS1"
"ILMN_1755638","NM_024885.2","TAF7L"
"ILMN_1772224","NM_000890.3","KCNJ5"
"ILMN_1714749","NM_032458.2","PHF6"
"ILMN_1661608","XM_928783.1","LOC645783"
"ILMN_1811063","XM_941125.1","LOC649447"
"ILMN_1703280","XM_943133.1","LOC647941"
"ILMN_1803218","NM_001002911.2","GPR139"
"ILMN_1697857","XM_932323.1","LOC644715"
"ILMN_1725809","NM_173044.1","IL18BP"
"ILMN_1653575","NM_173044.1","IL18BP"
"ILMN_1680189","XM_943229.1","LOC648173"
"ILMN_1676565","XM_934707.1","LOC647308"
"ILMN_1704252","XM_945496.1","LOC652439"
"ILMN_1658513","NM_015075.1","IQSEC2"
"ILMN_2069632","NM_144594.1","GTSF1"
"ILMN_1741200","NM_001025603.1","RFX5"
"ILMN_1766185","NM_181050.1","AXIN1"
"ILMN_1661004","NM_152483.1","FLJ25328"
"ILMN_1754942","XM_375550.3","SHC2"
"ILMN_1770065","NM_198564.1","FLJ44290"
"ILMN_2339627","NM_199444.1","COPE"
"ILMN_1715133","NM_016389.2","IVNS1ABP"
"ILMN_1678961","NM_018027.3","FRMD4A"
"ILMN_1731720","NM_030815.2","PDRG1"
"ILMN_1787266","NM_003122.2","SPINK1"
"ILMN_1664028","NM_001810.5","CENPB"
"ILMN_1757230","NM_021061.1","ZNF250"
"ILMN_1785605","NM_016547.1","SDF4"
"ILMN_1696065","NM_016547.1","SDF4"
"ILMN_1747395","NM_004727.2","SLC24A1"
"ILMN_1691165","NM_022111.2","CLSPN"
"ILMN_1872462","NM_000217.2","KCNA1"
"ILMN_1736400","XM_497717.2","LOC127150"
"ILMN_1728639","NM_000570.3","FCGR3B"
"ILMN_1717012","XM_927087.1","LOC643805"
"ILMN_1781390","NM_003867.2","FGF17"
"ILMN_1760339","NM_001004309.1","ZNF774"
"ILMN_1814657","NM_003223.1","TFAP4"
"ILMN_1673788","NM_017548.3","CDV3"
"ILMN_1810977","NM_017548.3","CDV3"
"ILMN_1693862","NM_001001795.1","MGC70857"
"ILMN_1689059","NM_024620.3","ZNF329"
"ILMN_1751279","NM_052904.2","KLHL32"
"ILMN_1691790","NM_214462.2","DACT2"
"ILMN_1685750","NM_138453.2","RAB3C"
"ILMN_1695485","XM_379665.2","C9orf109"
"ILMN_2339202","NM_004986.2","KTN1"
"ILMN_1776963","NM_006816.1","LMAN2"
"ILMN_1708203","NM_199324.1","OTUD4"
"ILMN_1722829","NM_002126.4","HLF"
"ILMN_1659475","NM_033188.3","KRTAP4-5"
"ILMN_2324109","NM_022405.2","SLC6A20"
"ILMN_1764867","XM_943707.1","LOC649431"
"ILMN_1730745","NM_001008391.2","CCDC73"
"ILMN_1672417","NM_005608.2","PTPRCAP"
"ILMN_1733276","NM_006639.2","CYSLTR1"
"ILMN_2275560","NM_199073.1","NDUFAF3"
"ILMN_1790471","XR_000206.4","CICE"
"ILMN_1814952","NM_144606.4","FLCN"
"ILMN_1655525","NM_144606.4","FLCN"
"ILMN_1683390","NM_144606.4","FLCN"
"ILMN_2226519","NR_002570.2","CYP2D7P1"
"ILMN_2242900","NM_003856.2","IL1RL1"
"ILMN_2313672","NM_003856.2","IL1RL1"
"ILMN_1789543","XM_928422.1","LOC643082"
"ILMN_1702244","NM_152417.1","TMEM68"
"ILMN_1718265","NM_004849.1","ATG5"
"ILMN_2346137","NM_001044387.1","ZNF557"
"ILMN_1809892","NM_207484.1","FLJ40712"
"ILMN_1755811","NM_033484.1","FBXO4"
"ILMN_1757355","NM_033484.1","FBXO4"
"ILMN_1747924","XM_932079.1","LOC644254"
"ILMN_1783287","NM_020672.1","S100A14"
"ILMN_2337923","NM_001003397.1","TPD52L1"
"ILMN_2335704","NM_000631.3","NCF4"
"ILMN_1785005","NM_000631.3","NCF4"
"ILMN_1743021","NM_153500.1","CAMKK2"
"ILMN_1736729","NM_002535.2","OAS2"
"ILMN_1799669","NM_014068.1","PSORS1C1"
"ILMN_1701409","XM_943454.2","LOC646588"
"ILMN_1792088","NM_173807.3","C1orf101"
"ILMN_1673649","NM_006389.2","HYOU1"
"ILMN_2069446","NM_014649.2","SAFB2"
"ILMN_1768958","NM_005739.2","RASGRP1"
"ILMN_1738912","XM_932532.1","LOC644953"
"ILMN_1728779","NM_018297.2","NGLY1"
"ILMN_1777301","NM_182896.1","ARL13B"
"ILMN_1795126","XM_943857.1","LOC649703"
"ILMN_1666190","XM_933108.1","LOC645745"
"ILMN_2302632","NM_000410.3","HFE"
"ILMN_1760732","NM_176882.1","TAS2R40"
"ILMN_1753449","NM_001898.2","CST1"
"ILMN_1754658","NM_006382.2","CDRT1"
"ILMN_1655821","NM_001747.2","CAPG"
"ILMN_1665824","NM_152738.1","C6orf218"
"ILMN_1690295","XR_018327.1","LOC648343"
"ILMN_2188141","NM_031246.1","PSG2"
"ILMN_1764483","NM_031246.1","PSG2"
"ILMN_1705466","NM_144967.2","FLJ30058"
"ILMN_1662603","XM_944769.1","LOC389111"
"ILMN_1711715","XM_928918.1","LOC645951"
"ILMN_1807533","NM_018149.5","C17orf71"
"ILMN_1804357","NM_001098721.1","GNG4"
"ILMN_1719782","XM_941428.1","LOC652097"
"ILMN_2371964","NM_033363.1","MRPS12"
"ILMN_2248655","NM_130795.2","RGS3"
"ILMN_1692077","NM_001008529.1","MXRA7"
"ILMN_1791545","NM_015515.3","KRT23"
"ILMN_1702384","NM_016096.3","ZNF706"
"ILMN_1759411","NM_182563.2","C16orf79"
"ILMN_1674282","NM_006238.2","PPARD"
"ILMN_1721349","NM_032121.4","MAGT1"
"ILMN_1660980","XM_936598.1","LOC647540"
"ILMN_1737580","NM_015704.1","PPPDE2"
"ILMN_1679073","XM_001128547.1","LOC647500"
"ILMN_1710268","NM_024697.1","ZNF385D"
"ILMN_1681882","NM_000078.1","CETP"
"ILMN_2098013","NM_000078.1","CETP"
"ILMN_1661355","NM_000751.1","CHRND"
"ILMN_1653376","NM_177454.3","FAM171B"
"ILMN_1746941","NM_005734.3","HIPK3"
"ILMN_1798360","NM_020311.2","CXCR7"
"ILMN_1773252","XM_939445.1","LOC650361"
"ILMN_1737074","XM_942424.2","LOC440589"
"ILMN_1652768","XM_942424.2","LOC440589"
"ILMN_1730432","NM_052868.2","IGSF8"
"ILMN_1807807","NM_182620.3","SKA2"
"ILMN_2323526","NM_100486.1","WAC"
"ILMN_1768925","NM_030945.2","C1QTNF3"
"ILMN_1794882","NM_173666.1","DTWD2"
"ILMN_2054554","NM_173666.1","DTWD2"
"ILMN_1714539","XM_942599.1","LOC652882"
"ILMN_1754415","XM_939782.1","LOC654133"
"ILMN_1658858","NM_138402.4","SP140L"
"ILMN_1736956","NM_148903.2","GREB1"
"ILMN_1715984","NM_148903.2","GREB1"
"ILMN_1717294","NM_002829.2","PTPN3"
"ILMN_1790744","NM_001004731.1","OR5AU1"
"ILMN_1679532","NM_000840.2","GRM3"
"ILMN_2078975","NM_000840.2","GRM3"
"ILMN_2388142","NM_134445.2","CD99L2"
"ILMN_1700681","NM_134445.2","CD99L2"
"ILMN_2041293","NM_003129.3","SQLE"
"ILMN_2210739","NR_002209.1","CDH12P"
"ILMN_2254123","NM_031473.2","IFT81"
"ILMN_1798433","NM_005575.2","LNPEP"
"ILMN_1788107","NM_000641.2","IL11"
"ILMN_1668608","NM_001008711.1","RBPMS"
"ILMN_2341548","NM_001080467.1","MYO5B"
"ILMN_1727970","NM_004498.1","ONECUT1"
"ILMN_2114812","NM_004498.1","ONECUT1"
"ILMN_1699576","NM_016952.3","CDON"
"ILMN_1729115","XM_941060.1","LOC651816"
"ILMN_1813572","NM_172217.2","IL16"
"ILMN_1805911","XM_379454.2","LOC401284"
"ILMN_1824067","XM_001126583.1","LOC728117"
"ILMN_1727248","NM_001031714.3","INF2"
"ILMN_1669206","NM_016284.3","CNOT1"
"ILMN_1719143","NM_006789.2","APOBEC2"
"ILMN_1694950","NM_006428.3","MRPL28"
"ILMN_1674128","NM_020943.2","CWC22"
"ILMN_1660938","NM_025077.2","TOE1"
"ILMN_1749073","NM_001012979.1","TCEAL5"
"ILMN_1865078","XM_001131441.1","LOC730340"
"ILMN_2338348","NM_001001895.1","UBASH3A"
"ILMN_1786118","NM_022006.1","FXYD7"
"ILMN_1710598","NM_003036.1","SKI"
"ILMN_1813386","NM_032854.2","CORO6"
"ILMN_2094377","NM_003305.1","TRPC3"
"ILMN_1788629","NM_001037325.1","CCDC46"
"ILMN_2320336","NM_003992.1","CLK3"
"ILMN_1692015","XM_941441.1","LOC652111"
"ILMN_1703684","NM_021963.2","NAP1L2"
"ILMN_1695468","NM_182692.1","SRPK2"
"ILMN_1669215","NM_182692.1","SRPK2"
"ILMN_1714809","NM_144563.2","RPIA"
"ILMN_1808713","NM_002153.1","HSD17B2"
"ILMN_1699666","NM_153335.4","STRADA"
"ILMN_1717880","XM_926717.1","LOC643386"
"ILMN_1674620","NM_001099400.1","SGCE"
"ILMN_1787831","NM_182577.1","ODF3L2"
"ILMN_1714397","NM_015974.2","CRYL1"
"ILMN_1757343","NM_003819.2","PABPC4"
"ILMN_2300396","NM_014066.3","COMMD5"
"ILMN_2235454","NM_014066.3","COMMD5"
"ILMN_2207816","NM_020234.3","DTWD1"
"ILMN_1700199","NM_172376.1","KCNH5"
"ILMN_1765606","NM_005748.3","YAF2"
"ILMN_2363805","NM_005748.3","YAF2"
"ILMN_1671686","NM_001978.1","EPB49"
"ILMN_1688104","NM_176083.2","TRDMT1"
"ILMN_2404112","NM_176083.2","TRDMT1"
"ILMN_1769658","NM_152449.2","LYSMD4"
"ILMN_2159859","NM_152449.2","LYSMD4"
"ILMN_1760199","NM_004929.2","CALB1"
"ILMN_1748175","XM_933652.1","LOC653750"
"ILMN_1727426","NM_182918.2","ERG"
"ILMN_1785486","NM_182918.2","ERG"
"ILMN_1733807","NM_006546.3","IGF2BP1"
"ILMN_2335109","NM_183353.1","RNF12"
"ILMN_2254182","NM_183353.1","RNF12"
"ILMN_2213008","NM_032131.3","ARMC2"
"ILMN_1723584","XM_939504.1","LOC650418"
"ILMN_1712314","NM_001395.1","DUSP9"
"ILMN_1659452","NM_207290.1","AAA1"
"ILMN_2388397","NM_001077427.2","LYPD1"
"ILMN_1730329","NM_004268.3","CRSP6"
"ILMN_1681248","NM_007113.2","TCHH"
"ILMN_1720180","XM_931999.1","LOC643035"
"ILMN_1680386","NM_001097590.1","RPP38"
"ILMN_1810334","NM_001099339.1","COMMD7"
"ILMN_1780827","NM_022772.2","EPS8L2"
"ILMN_2339006","NM_001009814.1","KIAA0564"
"ILMN_1709162","NM_024745.3","SHCBP1"
"ILMN_1763673","XM_944549.1","LOC651212"
"ILMN_1655334","XM_939717.1","LOC650628"
"ILMN_1762711","NM_198687.1","KRTAP10-4"
"ILMN_1794638","NM_194435.1","VIP"
"ILMN_1770493","NM_182628.1","CCDC37"
"ILMN_1771746","NM_001031743.1","C6orf165"
"ILMN_1757837","NM_001031743.1","C6orf165"
"ILMN_1726199","NM_032530.1","ZNF594"
"ILMN_1682565","XM_930090.1","LOC647079"
"ILMN_2125869","NM_001100.3","ACTA1"
"ILMN_1736752","NM_144589.2","COMTD1"
"ILMN_1813297","XM_929124.1","LOC646162"
"ILMN_1669552","XM_937856.1","LOC648775"
"ILMN_1743402","NM_017420.3","SIX4"
"ILMN_1685422","XM_939210.1","LOC650122"
"ILMN_2294784","NM_182907.1","PRDM1"
"ILMN_1729318","NM_015602.2","TOR1AIP1"
"ILMN_1765895","XM_941044.1","LOC651807"
"ILMN_1712487","NM_006893.2","LGTN"
"ILMN_1694177","NM_182649.1","PCNA"
"ILMN_1706958","NM_182649.1","PCNA"
"ILMN_1651681","NM_178585.1","WDFY3"
"ILMN_1775224","NM_000603.3","NOS3"
"ILMN_1685164","NM_000726.2","CACNB4"
"ILMN_1699598","NM_004068.3","AP2M1"
"ILMN_2402798","NM_004068.3","AP2M1"
"ILMN_1690392","NM_012071.2","COMMD3"
"ILMN_2389590","NM_002734.3","PRKAR1A"
"ILMN_1738699","NM_004860.2","FXR2"
"ILMN_1715425","XM_936544.1","LOC647480"
"ILMN_2211956","NR_001527.1","TTTY6"
"ILMN_2211959","NR_001527.1","TTTY6"
"ILMN_1705247","NM_016234.3","ACSL5"
"ILMN_1678517","NM_016234.3","ACSL5"
"ILMN_1710884","NM_001004741.1","OR5M10"
"ILMN_1665916","NM_033158.2","HYAL2"
"ILMN_1673798","NM_000309.2","PPOX"
"ILMN_1701619","XM_944676.1","ITGB5"
"ILMN_2192032","NM_003135.1","SRP19"
"ILMN_1760369","NM_052841.3","TSSK3"
"ILMN_1685005","NM_001065.2","TNFRSF1A"
"ILMN_1760513","NM_032372.4","DYDC2"
"ILMN_1719811","NM_014012.4","REM1"
"ILMN_1771224","NM_145060.3","SKA1"
"ILMN_1779370","NM_015185.1","ARHGEF9"
"ILMN_1764778","NM_172164.1","NASP"
"ILMN_1806448","NM_032536.1","NTNG2"
"ILMN_1780551","NM_000680.2","ADRA1A"
"ILMN_1696781","XM_001132682.1","LOC402635"
"ILMN_1815773","NM_139172.1","TMEM190"
"ILMN_1804448","NM_170721.1","MSI2"
"ILMN_1683115","XM_942541.1","LOC652843"
"ILMN_2206294","NM_152325.1","C13orf26"
"ILMN_1726054","NM_152325.1","C13orf26"
"ILMN_1747547","XM_943524.1","KIAA0888"
"ILMN_1745071","NR_003602.1","LOC541473"
"ILMN_1804530","XM_936251.2","LOC653888"
"ILMN_1765299","NM_178013.2","PRIMA1"
"ILMN_2174081","NM_003434.3","ZNF133"
"ILMN_2206141","NM_182484.1","BAGE5"
"ILMN_1787233","XM_942593.1","LOC652877"
"ILMN_1694082","XM_929155.1","LOC643598"
"ILMN_2402629","NM_001077180.1","METTL9"
"ILMN_1747318","NM_176877.2","INADL"
"ILMN_1773312","NM_176877.2","INADL"
"ILMN_1676550","XM_942803.1","LOC152578"
"ILMN_2275396","NM_000674.2","ADORA1"
"ILMN_2373444","NM_000674.2","ADORA1"
"ILMN_2223911","NR_001569.1","ADAM3A"
"ILMN_1795204","NR_001569.1","ADAM3A"
"ILMN_1669486","NR_001569.1","ADAM3A"
"ILMN_1745927","NM_004612.2","TGFBR1"
"ILMN_2348503","NM_006112.2","PPIE"
"ILMN_1665332","XM_926258.1","LOC653157"
"ILMN_1711048","NM_003443.1","ZBTB17"
"ILMN_2251766","NM_173343.1","IL1R2"
"ILMN_1772131","NM_173343.1","IL1R2"
"ILMN_2360710","NM_001018004.1","TPM1"
"ILMN_1654385","NM_024701.2","ASB13"
"ILMN_1680580","NR_002929.1","LOC148709"
"ILMN_1651690","NM_152595.3","PGBD4"
"ILMN_1706945","XM_940984.2","SNED1"
"ILMN_2170209","NM_014310.3","RASD2"
"ILMN_1739138","NM_012363.1","OR1N1"
"ILMN_1660972","XM_928505.1","LOC645476"
"ILMN_1707127","NM_003950.1","F2RL3"
"ILMN_1692739","NM_020851.1","ISLR2"
"ILMN_1788211","NM_014758.1","SNX19"
"ILMN_1727360","NM_000898.3","MAOB"
"ILMN_1666852","NM_018207.1","TRIM62"
"ILMN_1810147","NM_153219.2","ZNF524"
"ILMN_1730630","NM_022101.2","CXorf56"
"ILMN_1707469","XM_936694.1","BMP2KL"
"ILMN_1663603","XM_928310.1","LOC653262"
"ILMN_1755181","XM_944499.2","LOC651091"
"ILMN_2082903","NM_001005496.1","OR5D16"
"ILMN_1744941","NM_000356.2","TCOF1"
"ILMN_1730940","NM_057161.2","KLHDC3"
"ILMN_1732962","NM_020721.1","KIAA1210"
"ILMN_1683883","NM_000666.1","ACY1"
"ILMN_1785930","NM_013937.2","OR11A1"
"ILMN_1740463","XM_496547.3","LOC339778"
"ILMN_1809465","XM_926658.1","LOC643320"
"ILMN_1790070","NM_173649.1","C2orf61"
"ILMN_1791951","NM_181599.1","KRTAP13-1"
"ILMN_1732750","NM_016565.2","CHCHD8"
"ILMN_1760579","XM_946035.1","LOC650687"
"ILMN_1664969","XM_931798.2","LOC643783"
"ILMN_2053921","NM_004930.2","CAPZB"
"ILMN_1815804","XM_931774.1","LOC643749"
"ILMN_1697704","NM_181684.2","KRTAP12-2"
"ILMN_1710325","NM_144777.1","SCEL"
"ILMN_1807503","NM_001869.1","CPA2"
"ILMN_1755514","XM_930684.1","LOC653071"
"ILMN_2129505","NM_153611.3","CYBASC3"
"ILMN_1717423","XM_941934.1","LOC652476"
"ILMN_1686237","NM_032647.2","CBX2"
"ILMN_1709645","NM_032647.2","CBX2"
"ILMN_1806809","NM_003452.2","ZNF189"
"ILMN_1762407","NM_031215.2","CABLES2"
"ILMN_1772645","NM_018238.2","AGK"
"ILMN_1697444","NM_016232.4","IL1RL1"
"ILMN_1719735","XM_932634.1","LOC653252"
"ILMN_1761301","XM_928299.1","LOC643373"
"ILMN_1748666","XM_932282.1","LOC643171"
"ILMN_1736300","NM_018987.1","SEMA5B"
"ILMN_1660306","NM_003638.1","ITGA8"
"ILMN_1738632","NM_212472.1","PRKAR1A"
"ILMN_1710216","NM_020371.2","AVEN"
"ILMN_1757255","NM_058197.3","CDKN2A"
"ILMN_1758983","NM_177998.1","OTOP1"
"ILMN_1809145","NM_138632.1","HRIHFB2122"
"ILMN_1682180","NM_025054.3","VCPIP1"
"ILMN_1701614","NM_024529.3","CDC73"
"ILMN_2249677","NM_205834.2","LSR"
"ILMN_1717524","NM_015929.2","LIPT1"
"ILMN_2343105","NM_015929.2","LIPT1"
"ILMN_1772834","NM_022896.1","LPIN3"
"ILMN_1682112","NM_031859.1","PCDHA10"
"ILMN_1713272","NM_175053.3","KRT74"
"ILMN_2267508","NM_144647.3","CAPSL"
"ILMN_1763843","NM_144647.3","CAPSL"
"ILMN_2359306","NM_144647.3","CAPSL"
"ILMN_1669366","NM_006531.3","IFT88"
"ILMN_2373755","NM_006531.3","IFT88"
"ILMN_2297353","NM_021625.3","TRPV4"
"ILMN_1758323","NM_001099.2","ACPP"
"ILMN_1682664","XM_927905.1","LOC644809"
"ILMN_1683456","NM_006273.2","CCL7"
"ILMN_1788022","NM_017774.2","CDKAL1"
"ILMN_1685313","NM_201379.1","PLEC1"
"ILMN_1669323","NM_138992.1","BACE2"
"ILMN_1680494","NM_024811.2","FLJ12529"
"ILMN_1690034","NM_003102.2","SOD3"
"ILMN_2194649","NM_053053.2","TADA1L"
"ILMN_1776487","NM_053053.2","TADA1L"
"ILMN_1764185","NM_017913.2","CDC37L1"
"ILMN_1728642","NM_001492.4","GDF1"
"ILMN_1662280","NM_001492.4","GDF1"
"ILMN_1685319","NM_001492.4","GDF1"
"ILMN_1657832","NR_002936.1","LOC222699"
"ILMN_2129273","NM_003162.2","STRN"
"ILMN_1675413","NM_178543.3","ENPP7"
"ILMN_2130468","NM_178543.3","ENPP7"
"ILMN_2105539","NM_007197.2","FZD10"
"ILMN_1660323","XM_001131546.1","LOC731999"
"ILMN_1660277","XM_001131546.1","LOC731999"
"ILMN_1797368","XM_931261.1","WHDC1L1"
"ILMN_1798103","XM_941488.2","TREML3"
"ILMN_1777745","NM_001040057.1","FAM133B"
"ILMN_1784766","NM_003906.3","MCM3AP"
"ILMN_1768809","NM_003435.2","ZNF134"
"ILMN_1664320","NM_007163.2","SLC14A2"
"ILMN_1711156","XM_928866.1","LOC645895"
"ILMN_1714228","NM_178313.2","SPTBN1"
"ILMN_1701293","NM_001865.2","COX7A2"
"ILMN_2160476","NM_002990.3","CCL22"
"ILMN_2314121","NM_001018036.1","TSHR"
"ILMN_1660639","NM_001018036.1","TSHR"
"ILMN_1678651","XM_940135.1","LOC651022"
"ILMN_2408730","NM_014635.3","GCC2"
"ILMN_1706959","NM_013337.2","TIMM22"
"ILMN_1751266","XM_941360.1","LOC652045"
"ILMN_1755489","XM_931065.1","LOC642765"
"ILMN_1798636","NM_001007074.1","RPL32"
"ILMN_1663799","NM_001007074.1","RPL32"
"ILMN_1782167","NM_001007074.1","RPL32"
"ILMN_1695711","NM_019018.1","FAM105A"
"ILMN_1796087","XM_934972.1","NBPF1"
"ILMN_1733579","NM_014210.2","EVI2A"
"ILMN_2369018","NM_014210.2","EVI2A"
"ILMN_1726942","XM_938047.2","LOC402160"
"ILMN_2108150","NR_003128.1","LOC284441"
"ILMN_1696263","XM_926403.1","LOC643032"
"ILMN_1751375","NM_031889.1","ENAM"
"ILMN_1777901","XM_930817.1","LOC642434"
"ILMN_2372040","NM_001003704.1","MTP18"
"ILMN_1666361","NM_005116.5","SLC23A2"
"ILMN_2250820","NM_001080779.1","MYO1C"
"ILMN_2329165","NM_001080779.1","MYO1C"
"ILMN_1654641","XM_926017.1","LOC642521"
"ILMN_1786771","NR_003525.1","LOC387646"
"ILMN_1771156","NM_145110.1","MAP2K3"
"ILMN_1708049","XM_497365.2","LOC390378"
"ILMN_1695376","XM_938811.1","LOC649738"
"ILMN_1735051","NM_033535.2","FBXL5"
"ILMN_1663467","XM_929775.1","LOC646818"
"ILMN_1667826","XM_930203.2","LOC647174"
"ILMN_1744035","XM_946090.1","SAPS2"
"ILMN_1728440","NM_181605.3","KRTAP6-3"
"ILMN_2286514","NM_014170.2","GTPBP8"
"ILMN_2393243","NM_014170.2","GTPBP8"
"ILMN_1660698","NM_014170.2","GTPBP8"
"ILMN_1738793","NM_021216.3","ZNF71"
"ILMN_2374692","NM_016628.2","WAC"
"ILMN_1696554","NM_207382.1","FLJ43276"
"ILMN_2396338","NM_017869.3","BANP"
"ILMN_1651279","XM_928390.1","LOC645349"
"ILMN_1716952","NM_012166.2","FBXO10"
"ILMN_2089616","NM_012166.2","FBXO10"
"ILMN_1736969","NM_014926.2","SLITRK3"
"ILMN_2213136","NM_016269.2","LEF1"
"ILMN_1679185","NM_016269.2","LEF1"
"ILMN_1749109","NM_001042465.1","PSAP"
"ILMN_1769671","NM_001005861.1","RYK"
"ILMN_1689029","NM_015285.2","WDR7"
"ILMN_2383516","NM_015285.2","WDR7"
"ILMN_2281167","NM_015285.2","WDR7"
"ILMN_1738552","NM_004172.3","SLC1A3"
"ILMN_2136446","NM_003798.1","CTNNAL1"
"ILMN_1753716","NM_001414.2","EIF2B1"
"ILMN_1794912","NM_001003785.1","ATP5H"
"ILMN_1801246","NM_003641.3","IFITM1"
"ILMN_2367753","NM_001684.3","ATP2B4"
"ILMN_1775045","NM_004797.2","ADIPOQ"
"ILMN_1760858","NM_005370.4","RAB8A"
"ILMN_1666122","NM_020733.1","HEG1"
"ILMN_1669370","NM_032491.3","RFX4"
"ILMN_1745933","XR_001416.1","LOC400713"
"ILMN_1654396","NM_000211.1","ITGB2"
"ILMN_1804255","NM_000684.2","ADRB1"
"ILMN_1744089","NM_173507.1","C1orf127"
"ILMN_1789419","NM_007277.4","EXOC3"
"ILMN_1652151","XM_932429.1","LOC644829"
"ILMN_1653286","XM_942773.2","LOC642345"
"ILMN_1690138","NM_133325.1","PHF10"
"ILMN_1664314","XM_932039.1","LOC644200"
"ILMN_1663699","NM_013272.2","SLCO3A1"
"ILMN_1678928","NM_013272.2","SLCO3A1"
"ILMN_1654735","NM_013272.2","SLCO3A1"
"ILMN_1748738","NM_020372.2","SLC22A17"
"ILMN_2242463","NM_001814.2","CTSC"
"ILMN_1696347","NM_001814.2","CTSC"
"ILMN_1792885","NM_001814.2","CTSC"
"ILMN_1797965","NM_020786.1","PDP2"
"ILMN_1710597","XM_945277.1","CDV3"
"ILMN_2244004","NM_005096.2","ZMYM3"
"ILMN_1765427","NM_152762.2","TSGA10IP"
"ILMN_1750518","XM_001134346.1","THOC4"
"ILMN_1760741","NM_005002.3","NDUFA9"
